2025-06-02T16:35:07.386194+0530 | ERROR | Error fetching README for ItsArnavSh/solunox: 404 Client Error: Not Found for url: https://api.github.com/repos/ItsArnavSh/solunox/readme
2025-06-02T16:38:46.463452+0530 | ERROR | Error fetching README for ItsArnavSh/solunox: 404 Client Error: Not Found for url: https://raw.githubusercontent.com/ItsArnavSh/solunox/main/README.md
2025-06-02T16:51:19.436611+0530 | ERROR | Error fetching README for ItsArnavSh/solunox: 404 Client Error: Not Found for url: https://raw.githubusercontent.com/ItsArnavSh/solunox/main/README.md
2025-06-02T16:54:42.146483+0530 | ERROR | Error fetching README for ItsArnavSh/solunox: 404 Client Error: Not Found for url: https://raw.githubusercontent.com/ItsArnavSh/solunox/main/README.md
2025-06-02T16:54:42.212956+0530 | INFO | Stored repository: ItsArnavSh/solunox
2025-06-02T16:58:06.456048+0530 | INFO | Url for readme:https://raw.githubusercontent.com/ItsArnavSh/solunox/main/README.md
2025-06-02T16:58:07.420561+0530 | ERROR | Error fetching README for ItsArnavSh/solunox: 404 Client Error: Not Found for url: https://raw.githubusercontent.com/ItsArnavSh/solunox/main/README.md
2025-06-02T16:58:07.473057+0530 | INFO | Stored repository: ItsArnavSh/solunox
2025-06-02T16:58:45.133030+0530 | INFO | Url for readme:https://raw.githubusercontent.com/ItsArnavSh/gitfindr/main/README.md
2025-06-02T16:58:45.530325+0530 | INFO | Stored repository: ItsArnavSh/gitfindr
2025-06-04T14:25:52.355188+0530 | INFO | Initializing embedding pipeline...
2025-06-04T14:34:35.747182+0530 | INFO | Initializing embedding pipeline...
2025-06-04T14:41:52.955777+0530 | INFO | Initializing embedding pipeline...
2025-06-04T14:42:33.233171+0530 | INFO | Initializing embedding pipeline...
2025-06-04T14:43:28.885853+0530 | INFO | Initializing embedding pipeline...
2025-06-04T14:44:44.402754+0530 | INFO | Url for readme:https://raw.githubusercontent.com/ItsArnavSh/gitfindr/main/README.md
2025-06-04T14:44:44.870707+0530 | INFO | Splitting article into chunks...
2025-06-04T14:44:44.873593+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:45.130557+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:45.197018+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:45.784820+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:45.906384+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:45.974422+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:46.599879+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:46.683829+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:46.823284+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:47.032027+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:47.290615+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:47.493383+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:47.627487+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:47.743065+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:47.822454+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:47.896491+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:48.377577+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:48.517774+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:48.638144+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:48.747397+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:48.890419+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:49.534353+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:49.649033+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:49.789627+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:49.918899+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:50.056206+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:50.172945+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:50.276298+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:50.374674+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:50.475222+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:50.861314+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:50.955762+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:51.062359+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:51.205641+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:51.318556+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:51.913407+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:52.022598+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:52.107808+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:52.219714+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:44:52.287070+0530 | INFO | Chunks Upserted
2025-06-04T14:44:52.287728+0530 | INFO | Embeding done
2025-06-04T14:45:33.110172+0530 | INFO | Initializing embedding pipeline...
2025-06-04T14:45:55.435349+0530 | INFO | Initializing embedding pipeline...
2025-06-04T14:53:20.280586+0530 | INFO | Url for readme:https://raw.githubusercontent.com/ItsArnavSh/gitfindr/main/README.md
2025-06-04T14:55:47.821080+0530 | INFO | Initializing embedding pipeline...
2025-06-04T14:57:26.571080+0530 | INFO | Url for readme:https://raw.githubusercontent.com/ItsArnavSh/gitfindr/main/README.md
2025-06-04T14:57:26.738846+0530 | INFO | Splitting article into chunks...
2025-06-04T14:57:26.742639+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:26.830493+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:26.924286+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:27.109711+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:27.746008+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:27.912326+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:28.028785+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:28.147466+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:28.279808+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:28.405116+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:28.513511+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:28.606448+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:28.711443+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:28.874571+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:28.967614+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:29.088258+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:29.174726+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:29.425249+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:29.509540+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:30.187857+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:30.343832+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:30.479089+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:30.861362+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:30.989004+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:31.585181+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:32.232487+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:32.370516+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:32.516650+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:32.620790+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:32.721185+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:32.839515+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:32.989820+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:33.063499+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:33.176283+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:33.263166+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:33.366335+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:33.453596+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:33.692193+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:34.010619+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:57:34.083161+0530 | INFO | Chunks Upserted
2025-06-04T14:57:34.084034+0530 | INFO | Embeding done
2025-06-04T14:57:41.854380+0530 | INFO | Inverted index Complete
2025-06-04T14:59:24.824362+0530 | INFO | Initializing embedding pipeline...
2025-06-04T14:59:34.987044+0530 | INFO | Generating embeddings for chunk...
2025-06-04T14:59:48.144034+0530 | INFO | Generating embeddings for chunk...
2025-06-04T15:05:01.316089+0530 | INFO | Generating embeddings for chunk...
2025-06-04T15:05:57.704178+0530 | INFO | Initializing embedding pipeline...
2025-06-04T15:06:31.957844+0530 | INFO | Initializing embedding pipeline...
2025-06-04T15:06:55.723011+0530 | INFO | Initializing embedding pipeline...
2025-06-04T15:07:05.413852+0530 | INFO | Query is
2025-06-04T15:07:05.414320+0530 | INFO | keywords are: 
2025-06-04T15:07:05.414565+0530 | INFO | Generating embeddings for chunk...
2025-06-04T15:07:34.324237+0530 | INFO | Query is
2025-06-04T15:07:34.324559+0530 | INFO | keywords are: 
2025-06-04T15:07:34.324677+0530 | INFO | Generating embeddings for chunk...
2025-06-04T15:08:34.091187+0530 | INFO | Initializing embedding pipeline...
2025-06-04T15:09:17.583798+0530 | INFO | Search Engine
2025-06-04T15:09:17.588989+0530 | INFO | Query is
2025-06-04T15:09:17.589495+0530 | INFO | keywords are: 
2025-06-04T15:09:17.589775+0530 | INFO | Generating embeddings for chunk...
2025-06-04T15:10:27.373850+0530 | INFO | Initializing embedding pipeline...
2025-06-04T15:10:52.253102+0530 | INFO | Initializing embedding pipeline...
2025-06-04T15:11:19.732537+0530 | INFO | Initializing embedding pipeline...
2025-06-04T15:11:32.703038+0530 | INFO | Search Engine
2025-06-04T15:11:32.703502+0530 | INFO | Original Text: %s
2025-06-04T15:11:32.704547+0530 | INFO | Final cleaned text: %s
2025-06-04T15:11:32.708003+0530 | INFO | Query is
2025-06-04T15:11:32.708313+0530 | INFO | keywords are: 
2025-06-04T15:11:32.708439+0530 | INFO | Generating embeddings for chunk...
2025-06-04T15:11:47.812871+0530 | INFO | Search Engine
2025-06-04T15:11:47.813274+0530 | INFO | Original Text: %s
2025-06-04T15:11:47.813767+0530 | INFO | Final cleaned text: %s
2025-06-04T15:11:47.814187+0530 | INFO | Query is
2025-06-04T15:11:47.814448+0530 | INFO | keywords are: 
2025-06-04T15:11:47.814571+0530 | INFO | Generating embeddings for chunk...
